ID,Symbol,Company Name
504,PEG.N0000,PEGASUS HOTELS OF CEYLON PLC
3461,PINS.N0000,PEOPLE'S INSURANCE PLC
1968,PLC.N0000,PEOPLE'S LEASING & FINANCE PLC
486,GLAS.N0000,PGP GLASS CEYLON PLC
523,PMB.N0000,PMF FINANCE PLC
4986,PLR.N0000,PRIME LANDS RESIDENCIES PLC
258,CARE.N0000,PRINTCARE PLC
3815,RIL.N0000,R I L PROPERTY PLC
203,RGEM.N0000,RADIANT GEMS INTERNATIONAL PLC
1561,RWSL.N0000,RAIGAM WAYAMBA SALTERNS PLC
2150,RFL.N0000,RAMBODA FALLS PLC
1485,RAL.N0000,RENUKA AGRI FOODS PLC
478,RENU.N0000,RENUKA CITY HOTELS PLC.
1521,COCO.X0000,RENUKA FOODS PLC
507,COCO.N0000,RENUKA FOODS PLC
701,RHL.N0000,RENUKA HOLDINGS PLC
1481,RHL.X0000,RENUKA HOLDINGS PLC
3938,RCH.N0000,RENUKA HOTELS PLC
1446,HPWR.N0000,RESUS ENERGY PLC
511,RICH.N0000,RICHARD PIERIS AND COMPANY PLC
164,REXP.N0000,RICHARD PIERIS EXPORTS PLC
503,RCL.N0000,ROYAL CERAMICS LANKA PLC
55,RPBH.N0000,ROYAL PALMS BEACH HOTELS PLC
266,SAMP.N0000,SAMPATH BANK PLC
117,SIL.N0000,SAMSON INTERNATIONAL PLC
2147,SDB.N0000,SANASA DEVELOPMENT BANK PLC
5291,SDF.N0000,SARVODAYA DEVELOPMENT FINANCE PLC
479,SMOT.N0000,SATHOSA MOTORS PLC
3448,COF.U0000,SENFIN SECURITIES LIMITED
1789,SFCL.N0000,SENKADAGALA FINANCE COMPANY PLC
485,IDL.N0000,SERENDIB ENGINEERING GROUP PLC
432,SHOT.X0000,SERENDIB HOTELS PLC
246,SHOT.N0000,SERENDIB HOTELS PLC
243,SLND.N0000,SERENDIB LAND PLC
42,SEYB.N0000,SEYLAN BANK PLC
213,SEYB.X0000,SEYLAN BANK PLC
505,CSD.N0000,SEYLAN DEVELOPMENTS PLC
142,SIRA.N0000,SIERRA CABLES PLC
437,SIGV.N0000,SIGIRIYA VILLAGE HOTELS PLC
512,SINS.N0000,SINGER (SRI LANKA) PLC
1785,SFIN.N0000,SINGER FINANCE LANKA PLC
2190,SFIN.R0000,SINGER FINANCE (LANKA) PLC
3307,SINH.N0000,SINGHE HOSPITALS PLC
185,SEMB.N0000,SMB FINANCE PLC
357,SEMB.X0000,SMB FINANCE PLC
1944,SCAP.N0000,SOFTLOGIC CAPITAL PLC
1041,CRL.N0000,SOFTLOGIC FINANCE PLC
6111,SHL.W0000,SOFTLOGIC HOLDINGS PLC
1849,SHL.N0000,SOFTLOGIC HOLDINGS PLC
118,AAIC.N0000,SOFTLOGIC LIFE INSURANCE PLC
556,SLTL.N0000,SRI LANKA TELECOM PLC
153,SING.N0000,STANDARD CAPITAL PLC
238,SUN.N0000,SUNSHINE HOLDINGS PLC
313,SWAD.N0000,SWADESHI INDUSTRIAL WORKS  PLC
119,PARQ.N0000,SWISSTEK (CEYLON) PLC
468,TAJ.N0000,TAL LANKA HOTELS PLC
477,TPL.N0000,TALAWAKELLE TEA ESTATES PLC
482,TANG.N0000,TANGERINE BEACH HOTELS PLC
484,TSML.N0000,TEA SMALLHOLDER FACTORIES PLC
1854,TJL.N0000,TEEJAY LANKA PLC
4,TESS.N0000,TESS AGRO PLC
2997,TESS.X0000,TESS AGRO PLC
306,AUTO.N0000,THE AUTODROME PLC
525,CFLB.N0000,THE COLOMBO FORT LAND AND BUILDING PLC
414,RHTL.N0000,THE FORTRESS RESORTS PLC
329,KHC.N0000,THE KANDY HOTELS COMPANY (1938) PLC
253,SERV.N0000,THE KINGSBURY PLC
40,LHCL.N0000,THE LANKA HOSPITALS CORPORATION PLC
317,LHL.N0000,THE  LIGHTHOUSE  HOTEL  PLC
363,NEH.N0000,THE NUWARA ELIYA HOTELS COMPANY PLC
93,TAFL.N0000,THREE ACRE FARMS PLC
411,TKYO.N0000,TOKYO CEMENT COMPANY (LANKA) PLC
15,TKYO.X0000,TOKYO CEMENT COMPANY (LANKA) PLC
499,TRAN.N0000,TRANS ASIA HOTELS PLC
5732,UBF.N0000,UB FINANCE PLC
561,UDPL.N0000,UDAPUSSELLAWA  PLANTATIONS PLC
425,UAL.N0000,UNION ASSURANCE PLC
1790,UBC.N0000,UNION BANK OF COLOMBO PLC
278,UCAR.N0000,UNION CHEMICALS LANKA PLC
262,UML.N0000,UNITED MOTORS LANKA PLC
1563,VFIN.N0000,VALLIBEL FINANCE PLC
1848,VONE.N0000,VALLIBEL ONE PLC
473,VPEL.N0000,VALLIBEL POWER ERATHNA PLC
5005,VLL.X0000,VIDULLANKA PLC
300,VLL.N0000,VIDULLANKA PLC
1971,CITW.N0000,WASKADUWA BEACH RESORT PLC
148,WATA.N0000,WATAWALA  PLANTATIONS  PLC
4887,WIND.N0000,WINDFORCE PLC
180,YORK.N0000,YORK ARCADE HOLDINGS PLC
